1010 AAAAABBBBAAAA
00 AAAAAA
01001110 AAAABAAABBBBBBAAAAAAA
1100110 BBAABABBA
111111111111111110000000000000000000001111111111111111111100000000010101010111111111111 AAAAAAAAAAAAAAAAABBBBBABABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAAAAABABABABBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBAAAAAAAAAAAAAA
000110111100101 ABBABBABBABBABABABABAABAABABAABBAABBAAABBAAAAABABABBBBAABBBBBBBBBAABAAAABAAA
0111000011001100100100001001110010111100000100110000011011100101010011000000101000101101001100000001101010010100101 AABABBAABAAABAAABBBABAABAAABBBAAABBBBBBBBAABABBAABAAABAAAABBABBBAAAABAAAAAABBAABAAAAAAABBBAABBAABBBAABABABABAAABBBABABABAAAAAABABAABABABAAABAABAABABAABABABABAABAABABAAAABABABAABABABAAABBAABBBBBAAAAAABAABBAAB
100110110011001011111 BAAAAAAAAAAAAAAAAAAAAABBAAAAAAABBAAAAAAAAAAAAAAAAAAAAAAABBBAAAA
010011010111110000000001010011000110100101111101101011100100111001011110101100101110011001111100110010110000111110 BABAABAAABABBBBBBBBAABAABBAABABBABAABAABBBABAAAABBBAAAAAAAABBBAAAAABAAABAAAAAAABBAAABBBABAABABABBAABBAAAAABBABBAAA
100101011011000010000111000101100110111000001011101001010011110011011000001010101011101101001010111100001111010011101111000011001001 AAAAAAAAABBBBBBAAAAAABBBBBAAAAAAAAABBBBAAAAAAAAAABBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAAAAAAAAABBBBAAAAAAAAAAABBBBAABABBBBBAAAAAAAAAAAAAAAAAAABBBBBBAAAAAABBBBBBBAAAAABBBBBAAAAAAAABBBAAABAAAAAAAAABBBBBBABBAAABBBBBBAAAAAAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBAAAAAAAAABBBBBBBBAAAAAAAAAAAAAAAABBBBBAAAAAAABBBBBAAAAAAABBBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABBBBBBAAABBBBAAAAABBAAAAAAAAAABBBBBAAABBBBBBBBBBBAAAAAAAAAAAAAAAAABBBBBBAAAAAAAAAAAAAAAAB
1 BBBBBBAAAAAA
01100101100010111101011011010100 AAAABBBBBAAAABAAABABBAAAABBABBABABABBAAABBAA
1001110000100100110111010 ABBAABABABABAABAAAAAABABA
10010011001011010010010111100010111000010011010100111001101001000101000010000111010000011100001010001001111110111010100000000100111101 ABABABBAAAAABABBBBBBAABAAABBBBBAABABBBAAABBAABBBBBABAABBBBBABABBBBBAAAAAAABBABABBAABABBABAAAAAABBBBBBAABABAABBAAAAABBABABBBAABBABAAABBABBAAAABBAAAABABB
